group1,group2,label1,label2,n,n_at_least_1_event,median_los,p10,p25,p75,p90
all,severe_obesity,All,FALSE,4714,1461,5,1,3,7,9
all,severe_obesity,All,TRUE,218,64,5,1,3,6.25,8
all,smi,All,FALSE,4738,1450,5,1,3,7,9
all,smi,All,TRUE,194,75,6,1,3,8,8.600000000000009
all,ckd_rrt,All,Stage 3,308,88,5,1,3,7,8
all,ckd_rrt,All,No CKD or RRT,4389,1364,5,1,3,7,9
all,ckd_rrt,All,Stage 4,106,40,4,2,3,7,8
all,ckd_rrt,All,RRT (transplant),39,5,2,1.4,2,6,7.199999999999999
all,ckd_rrt,All,RRT (dialysis),39,10,5,1,2.25,8.5,9
all,ckd_rrt,All,Stage 5,51,18,3.5,1,1.25,5.75,6.300000000000001
all,copd,All,FALSE,4818,1490,5,1,3,7,9
all,copd,All,TRUE,114,35,5,2,3,8,8.600000000000001
all,learndis_cat,All,(Missing),3970,1234,5,1,3,7,9
all,learndis_cat,All,Learning disability register,243,80,4.5,1,3,7,9
all,learndis_cat,All,Other learning disability,487,138,6,2,3,7,9
all,learndis_cat,All,Down's syndrome,232,73,5,1.1999999999999993,2,7,8
all,sickle_cell_asplenia,All,FALSE,4651,1440,5,1,3,7,9
all,sickle_cell_asplenia,All,TRUE,281,85,5,1.4000000000000004,3,8,9
all,cirrhosis,All,FALSE,4831,1493,5,1,3,7,9
all,cirrhosis,All,TRUE,101,32,5,1.0999999999999996,3,7.25,8.900000000000002
all,cochlear_implant,All,FALSE,4828,1487,5,1,3,7,9
all,cochlear_implant,All,TRUE,104,38,4,1,3,7,8
all,cystic_fibrosis,All,FALSE,4816,1491,5,1,3,7,9
all,cystic_fibrosis,All,TRUE,116,34,4,1.3000000000000007,3,6,8
all,csfl,All,FALSE,4846,1498,5,1,3,7,9
all,csfl,All,TRUE,86,27,5,3,3.5,8,8.400000000000002
all,homeless,All,FALSE,4829,1495,5,1,3,7,9
all,homeless,All,TRUE,103,30,3,1,2,4,8.100000000000001
ageband4,all,50-64,All,822,263,5,1,3,7,9
ageband4,all,65-74,All,2181,669,5,1,3,7,8.200000000000045
ageband4,all,75-104,All,1411,439,5,1,3,7,9
ageband4,all,12-49,All,518,154,5,1,3,7,9
ageband4,ageband13,50-64,55-59,274,95,5,1,3,7,9
ageband4,ageband13,50-64,60-64,303,97,4,1,3,6,8
ageband4,ageband13,50-64,50-54,245,71,6,1,3,7,9
ageband4,ageband13,65-74,70-74,950,297,5,1,3,7,9
ageband4,ageband13,65-74,65-69,1231,372,5,1,3,7,8
ageband4,ageband13,75-104,80-84,392,120,5,1,3,7,8
ageband4,ageband13,75-104,75-79,649,193,5,1.2000000000000028,3,8,9
ageband4,ageband13,75-104,85-89,207,75,5,1,3,7.5,9
ageband4,ageband13,75-104,90-104,163,51,4,2,3,6,8
ageband4,ageband13,12-49,30-39,135,43,5,2,3,8,9
ageband4,ageband13,12-49,40-49,355,101,4,1,3,7,8
ageband4,ageband13,12-49,18-29,27,9,5,1,2,6,7.399999999999999
ageband4,ageband13,12-49,12-17,1,1,7,7,7,7,7
ageband4,sex,50-64,Female,417,137,5,1,3,7,9
ageband4,sex,50-64,Male,405,126,5,1,3,7,8.5
ageband4,sex,65-74,Female,1110,326,5,1,3,7,8
ageband4,sex,65-74,Male,1071,343,5,1,3,7,9
ageband4,sex,75-104,Male,656,198,5,1,3,7,9
ageband4,sex,75-104,Female,755,241,5,2,3,7,9
ageband4,sex,12-49,Female,289,87,5,1,3,7,8.400000000000006
ageband4,sex,12-49,Male,229,67,5,2,3,7,9
ageband4,ethnicity5,50-64,White,453,140,5,1,3,7,9
ageband4,ethnicity5,50-64,Mixed,69,25,4,2,3,7,8
ageband4,ethnicity5,50-64,(Missing),85,30,6,1.9000000000000004,3,8,9
ageband4,ethnicity5,50-64,Chinese or Other Ethnic Groups,66,20,5.5,1,3,6.25,8.100000000000001
ageband4,ethnicity5,50-64,Asian or Asian British,77,22,5,2,3.25,6,8
ageband4,ethnicity5,50-64,Black or Black British,72,26,4,1,2,6.75,8
ageband4,ethnicity5,65-74,(Missing),192,62,4,1,2,6,8
ageband4,ethnicity5,65-74,Chinese or Other Ethnic Groups,228,76,5,1,3,7,8
ageband4,ethnicity5,65-74,White,1176,349,5,1,2,7,8.199999999999989
ageband4,ethnicity5,65-74,Asian or Asian British,194,58,5.5,2.7,3,8,9
ageband4,ethnicity5,65-74,Black or Black British,195,68,4.5,1,3,7,8
ageband4,ethnicity5,65-74,Mixed,196,56,6,2,4,8,9
ageband4,ethnicity5,75-104,White,749,225,5,2,3,7,9
ageband4,ethnicity5,75-104,Mixed,129,53,5,1,2,7,8.800000000000004
ageband4,ethnicity5,75-104,Asian or Asian British,112,33,4,1,2,6,7
ageband4,ethnicity5,75-104,Black or Black British,135,43,5,1.2000000000000002,2.5,7,8
ageband4,ethnicity5,75-104,Chinese or Other Ethnic Groups,135,35,7,1,4,7.5,9
ageband4,ethnicity5,75-104,(Missing),151,50,5,1.9000000000000004,3,7,8
ageband4,ethnicity5,12-49,Asian or Asian British,41,9,3,1,1,4,6.599999999999998
ageband4,ethnicity5,12-49,White,313,102,5,1.1000000000000014,3,7,8.900000000000006
ageband4,ethnicity5,12-49,(Missing),47,11,6,3,3.5,7,9
ageband4,ethnicity5,12-49,Black or Black British,43,9,6,2.8000000000000003,3,8,9
ageband4,ethnicity5,12-49,Mixed,47,16,5,1,2.75,6.25,7
ageband4,ethnicity5,12-49,Chinese or Other Ethnic Groups,27,7,5,3.8000000000000003,5,5,6.600000000000001
ageband4,region,50-64,North East and Yorkshire,409,126,4,1,3,7,9
ageband4,region,50-64,North West,170,56,6,2,3,8,9
ageband4,region,50-64,South East,38,12,5.5,3,3,7.25,8
ageband4,region,50-64,Midlands,85,34,4,2,2.25,6.75,8
ageband4,region,50-64,East of England,37,9,5,1.8,2,8,8.2
ageband4,region,50-64,London,41,16,4,2.5,3,7,8
ageband4,region,50-64,South West,42,10,5,1.9,2.75,5.75,6
ageband4,region,65-74,North West,433,128,5,1.700000000000001,3,7,8
ageband4,region,65-74,North East and Yorkshire,1109,335,5,1,3,7,8
ageband4,region,65-74,Midlands,214,80,5,2,3,7,8.100000000000009
ageband4,region,65-74,East of England,98,33,4,1.2000000000000002,2,6,8.8
ageband4,region,65-74,London,109,25,6,2.4000000000000004,4,7,8.600000000000001
ageband4,region,65-74,South West,113,33,6,2.2,3,7,8
ageband4,region,65-74,South East,105,35,5,1.4000000000000004,3,7.5,9
ageband4,region,75-104,North East and Yorkshire,705,206,6,2,3,7.75,9
ageband4,region,75-104,London,66,30,5,1,3,7.75,9
ageband4,region,75-104,North West,288,92,4,2,3,7,9
ageband4,region,75-104,South East,65,23,5,1,1.5,7,8
ageband4,region,75-104,Midlands,155,51,4,1,2,6,8
ageband4,region,75-104,East of England,75,24,6,1,2,7.25,8
ageband4,region,75-104,South West,57,13,4,2,3,5,5.800000000000001
ageband4,region,12-49,Midlands,50,10,4.5,1.9,3,7.75,9
ageband4,region,12-49,North West,98,38,4,1,3.25,7.75,9
ageband4,region,12-49,North East and Yorkshire,272,77,5,2,3,7,8
ageband4,region,12-49,South East,33,6,6.5,4,5.25,7.75,8.5
ageband4,region,12-49,East of England,18,4,6.5,3.9,5.25,7.5,8.4
ageband4,region,12-49,London,22,8,5,1,1.75,6,6.3
ageband4,region,12-49,South West,25,11,3,1,1,5.5,6
ageband4,imd_quintile,50-64,2,157,56,5,1.5,3,7,8.5
ageband4,imd_quintile,50-64,1 (most deprived),161,48,4,1.7000000000000002,3,8,8.300000000000004
ageband4,imd_quintile,50-64,3,154,45,6,1.4000000000000004,3,8,9
ageband4,imd_quintile,50-64,4,165,53,5,1.2000000000000002,3,8,9
ageband4,imd_quintile,50-64,5 (least deprived),145,46,4,1,3,7,7.5
ageband4,imd_quintile,50-64,(Missing),40,15,6,1,2,7.5,8
ageband4,imd_quintile,65-74,2,437,144,6,2,3,7,9
ageband4,imd_quintile,65-74,4,405,117,5,1,2,7,9
ageband4,imd_quintile,65-74,1 (most deprived),386,103,4,2,3,7,8
ageband4,imd_quintile,65-74,3,433,130,5,1,2,7,8
ageband4,imd_quintile,65-74,(Missing),118,31,6,2,3,7,9
ageband4,imd_quintile,65-74,5 (least deprived),402,144,5,1,3,7,8
ageband4,imd_quintile,75-104,3,296,85,5,1,3,7,8
ageband4,imd_quintile,75-104,2,299,101,5,2,3,7,8
ageband4,imd_quintile,75-104,5 (least deprived),234,76,5,1,2.75,7,9
ageband4,imd_quintile,75-104,4,245,76,5,1,3,8,9
ageband4,imd_quintile,75-104,(Missing),68,20,7,2.9000000000000004,4,8,8.100000000000001
ageband4,imd_quintile,75-104,1 (most deprived),269,81,5,2,3,7,9
ageband4,imd_quintile,12-49,1 (most deprived),101,32,5.5,1,3,8,8
ageband4,imd_quintile,12-49,4,88,23,4,2.2,3,6,8
ageband4,imd_quintile,12-49,3,95,29,5,1,3,7,8.2
ageband4,imd_quintile,12-49,2,123,35,5,1,2.5,7,8.600000000000001
ageband4,imd_quintile,12-49,5 (least deprived),97,32,5,2,3,7,8.900000000000002
ageband4,imd_quintile,12-49,(Missing),14,3,9,5,6.5,9,9
ageband4,carehome_status,50-64,FALSE,780,254,5,1,3,7,9
ageband4,carehome_status,50-64,TRUE,42,9,5,1.8,2,5,7.199999999999999
ageband4,carehome_status,65-74,FALSE,1766,537,5,1,3,7,9
ageband4,carehome_status,65-74,TRUE,415,132,4.5,1,3,7,8
ageband4,carehome_status,75-104,FALSE,1156,361,5,1,3,7,9
ageband4,carehome_status,75-104,TRUE,255,78,5,1,3,7,9
ageband4,carehome_status,12-49,FALSE,499,148,5,1,3,7,8.300000000000011
ageband4,carehome_status,12-49,TRUE,19,6,5,2,2.25,8.5,9
ageband4,primis_atrisk,50-64,TRUE,791,257,5,1,3,7,9
ageband4,primis_atrisk,50-64,FALSE,31,6,4,1.5,2.25,5,5
ageband4,primis_atrisk,65-74,FALSE,1752,528,5,1,3,7,8
ageband4,primis_atrisk,65-74,TRUE,429,141,6,2,3,7,9
ageband4,primis_atrisk,75-104,FALSE,1139,353,5,1,3,7,9
ageband4,primis_atrisk,75-104,TRUE,272,86,5,1.5,3,7,8
ageband4,primis_atrisk,12-49,TRUE,507,151,5,1,3,7,9
ageband4,primis_atrisk,12-49,FALSE,11,3,3,2.2,2.5,5,6.199999999999999
ageband4,crd,50-64,TRUE,74,27,4,1,3,7,8
ageband4,crd,50-64,FALSE,748,236,5,1,3,7,9
ageband4,crd,65-74,FALSE,2136,649,5,1,3,7,8.200000000000045
ageband4,crd,65-74,TRUE,45,20,5.5,1.9000000000000004,4,7,8.100000000000001
ageband4,crd,75-104,FALSE,1385,430,5,1,3,7,9
ageband4,crd,75-104,TRUE,26,9,4,1.8,2,5,6.199999999999999
ageband4,crd,12-49,FALSE,465,138,5,1,3,7,9
ageband4,crd,12-49,TRUE,53,16,5.5,2,3,7.25,8.5
ageband4,chd,50-64,FALSE,745,236,5,1,3,7,9
ageband4,chd,50-64,TRUE,77,27,5,1,2,7,8
ageband4,chd,65-74,FALSE,2137,657,5,1,3,7,8
ageband4,chd,65-74,TRUE,44,12,7,3,5.25,9,9
ageband4,chd,75-104,FALSE,1382,429,5,1,3,7,9
ageband4,chd,75-104,TRUE,29,10,4.5,1,2.25,6.75,7.199999999999999
ageband4,chd,12-49,FALSE,474,135,5,1,3,7,8.600000000000009
ageband4,chd,12-49,TRUE,44,19,6,2.8,3,7.5,9
ageband4,ckd,50-64,FALSE,743,237,5,1,3,7,9
ageband4,ckd,50-64,TRUE,79,26,6,3,5,7.75,8.5
ageband4,ckd,65-74,FALSE,2134,652,5,1,3,7,8
ageband4,ckd,65-74,TRUE,47,17,6,2,3,8,9
ageband4,ckd,75-104,FALSE,1372,426,5,1,3,7,9
ageband4,ckd,75-104,TRUE,39,13,5,3.2,4,7,8.8
ageband4,ckd,12-49,FALSE,475,142,5,1,3,7,9
ageband4,ckd,12-49,TRUE,43,12,3,2.1,3,4.25,5
ageband4,cld,50-64,FALSE,738,239,5,1,3,7,9
ageband4,cld,50-64,TRUE,84,24,4,1.3000000000000003,3,6,7
ageband4,cld,65-74,FALSE,2151,657,5,1,3,7,9
ageband4,cld,65-74,TRUE,30,12,5.5,1.1,2.75,7,7
ageband4,cld,75-104,FALSE,1387,435,5,1,3,7,9
ageband4,cld,75-104,TRUE,24,4,4.5,2,2,7,7
ageband4,cld,12-49,FALSE,460,134,5,1,3,7,8.700000000000003
ageband4,cld,12-49,TRUE,58,20,6,2.8000000000000007,4,7.25,9
ageband4,cns_learndis,50-64,FALSE,684,217,5,1,3,7,9
ageband4,cns_learndis,50-64,TRUE,138,46,6,3,4,8,9
ageband4,cns_learndis,65-74,FALSE,2092,648,5,1,3,7,9
ageband4,cns_learndis,65-74,TRUE,89,21,4,1,2,6,8
ageband4,cns_learndis,75-104,FALSE,1360,425,5,1,3,7,9
ageband4,cns_learndis,75-104,TRUE,51,14,4.5,1.2999999999999998,3.25,6.75,8
ageband4,cns_learndis,12-49,FALSE,418,131,5,2,3,7,9
ageband4,cns_learndis,12-49,TRUE,100,23,3,1,2,6,7
ageband4,diabetes,50-64,FALSE,729,238,5,1,3,7,8.300000000000011
ageband4,diabetes,50-64,TRUE,93,25,5,1.4000000000000004,4,8,9
ageband4,diabetes,65-74,FALSE,2132,655,5,1,3,7,8
ageband4,diabetes,65-74,TRUE,49,14,7,3.3,4,7.75,8.700000000000001
ageband4,diabetes,75-104,FALSE,1384,429,5,1,3,7,9
ageband4,diabetes,75-104,TRUE,27,10,6.5,1.9,4.5,7,8
ageband4,diabetes,12-49,FALSE,479,146,5,1,3,7,8.5
ageband4,diabetes,12-49,TRUE,39,8,7.5,4,4.75,8.25,9
ageband4,immunosuppressed,50-64,FALSE,729,232,5,1,3,7,9
ageband4,immunosuppressed,50-64,TRUE,93,31,4,1,2.5,6.5,8
ageband4,immunosuppressed,65-74,FALSE,2134,649,5,1,3,7,8
ageband4,immunosuppressed,65-74,TRUE,47,20,5,1.9000000000000004,3.75,7,9
ageband4,immunosuppressed,75-104,FALSE,1382,429,5,1,3,7,9
ageband4,immunosuppressed,75-104,TRUE,29,10,7,1.9,4,8,9
ageband4,immunosuppressed,12-49,FALSE,465,136,5,1,3,7,9
ageband4,immunosuppressed,12-49,TRUE,53,18,5.5,3,4,6,8.3
ageband4,asplenia,50-64,FALSE,743,241,5,1,3,7,9
ageband4,asplenia,50-64,TRUE,79,22,5,2,3.25,7,9
ageband4,asplenia,65-74,FALSE,2142,657,5,1,3,7,8
ageband4,asplenia,65-74,TRUE,39,12,5.5,3,3.75,8.25,9
ageband4,asplenia,75-104,FALSE,1391,432,5,1,3,7,9
ageband4,asplenia,75-104,TRUE,20,7,3,2.6,3,7,8.4
ageband4,asplenia,12-49,FALSE,471,137,5,2,3,7,9
ageband4,asplenia,12-49,TRUE,47,17,4,1,1,5,8.4
ageband4,severe_obesity,50-64,FALSE,734,233,5,1,3,7,9
ageband4,severe_obesity,50-64,TRUE,88,30,4,1,3,6.75,8
ageband4,severe_obesity,65-74,FALSE,2145,659,5,1,3,7,8.200000000000045
ageband4,severe_obesity,65-74,TRUE,36,10,5,2.8,4,6,7.199999999999999
ageband4,severe_obesity,75-104,FALSE,1377,428,5,1,3,7,9
ageband4,severe_obesity,75-104,TRUE,34,11,5,3,3.5,5.5,6
ageband4,severe_obesity,12-49,TRUE,60,13,5,1.2000000000000002,3,7,9
ageband4,severe_obesity,12-49,FALSE,458,141,5,1,3,7,8
ageband4,smi,50-64,FALSE,744,231,5,1,3,7,8
ageband4,smi,50-64,TRUE,78,32,4,1,2,7.25,9
ageband4,smi,65-74,FALSE,2138,651,5,1,3,7,9
ageband4,smi,65-74,TRUE,43,18,6.5,2.7,3.25,7,8
ageband4,smi,75-104,FALSE,1389,433,5,1,3,7,9
ageband4,smi,75-104,TRUE,22,6,6,2.5,3.5,7.75,8
ageband4,smi,12-49,FALSE,467,135,5,1,3,7,9
ageband4,smi,12-49,TRUE,51,19,5,1.7999999999999998,2.5,8,8.2
ageband4,ckd_rrt,50-64,Stage 3,54,17,4,1,1,4,8.4
ageband4,ckd_rrt,50-64,No CKD or RRT,724,236,5,1,3,7,9
ageband4,ckd_rrt,50-64,RRT (transplant),10,0,NA,NA,NA,NA,NA
ageband4,ckd_rrt,50-64,Stage 5,9,2,3,2.2,2.5,3.5,3.8
ageband4,ckd_rrt,50-64,RRT (dialysis),8,4,3.5,1.3,1.75,5,5
ageband4,ckd_rrt,50-64,Stage 4,17,4,3,1.6,2.5,3.75,5.1000000000000005
ageband4,ckd_rrt,65-74,No CKD or RRT,1952,601,5,1,3,7,8
ageband4,ckd_rrt,65-74,Stage 4,51,19,4,2,3,7,8.2
ageband4,ckd_rrt,65-74,Stage 3,128,35,5,2,4,7.5,8
ageband4,ckd_rrt,65-74,RRT (transplant),15,3,2,1.2,1.5,5,6.799999999999999
ageband4,ckd_rrt,65-74,Stage 5,24,9,2,1,1,6,6.599999999999998
ageband4,ckd_rrt,65-74,RRT (dialysis),11,2,9,9,9,9,9
ageband4,ckd_rrt,75-104,No CKD or RRT,1258,394,5,1,3,7,9
ageband4,ckd_rrt,75-104,Stage 3,91,25,5,1,3,7,7.600000000000001
ageband4,ckd_rrt,75-104,Stage 4,29,13,4,3,3,7,7.800000000000001
ageband4,ckd_rrt,75-104,RRT (dialysis),14,4,5,1.6,2.5,7.5,8.4
ageband4,ckd_rrt,75-104,Stage 5,11,3,3,1.4,2,5,6.199999999999999
ageband4,ckd_rrt,75-104,RRT (transplant),8,0,NA,NA,NA,NA,NA
ageband4,ckd_rrt,12-49,No CKD or RRT,455,133,5,1,3,7,9
ageband4,ckd_rrt,12-49,Stage 3,35,11,5,3,3.5,7,8
ageband4,ckd_rrt,12-49,Stage 4,9,4,4.5,1.3,1.75,7.25,7.7
ageband4,ckd_rrt,12-49,Stage 5,7,4,4.5,1.9000000000000001,3.25,5.25,5.7
ageband4,ckd_rrt,12-49,RRT (transplant),6,2,4,2.4000000000000004,3,5,5.6
ageband4,ckd_rrt,12-49,RRT (dialysis),6,0,NA,NA,NA,NA,NA
ageband4,copd,50-64,FALSE,802,256,5,1,3,7,9
ageband4,copd,50-64,TRUE,20,7,5,2.2,3.5,7,8
ageband4,copd,65-74,FALSE,2136,659,5,1,3,7,8
ageband4,copd,65-74,TRUE,45,10,7,3.8,5.25,8,9
ageband4,copd,75-104,FALSE,1372,425,5,1,3,7,9
ageband4,copd,75-104,TRUE,39,14,4.5,1.2999999999999998,3,6.75,8
ageband4,copd,12-49,TRUE,10,4,4,3,3,6,7.800000000000001
ageband4,copd,12-49,FALSE,508,150,5,1,3,7,9
ageband4,learndis_cat,50-64,(Missing),657,210,4.5,1,3,7,8
ageband4,learndis_cat,50-64,Down's syndrome,46,17,6,1.6,3,8,8.4
ageband4,learndis_cat,50-64,Learning disability register,39,13,5,2.2,3,9,9
ageband4,learndis_cat,50-64,Other learning disability,80,23,6,2.2,5,8,9
ageband4,learndis_cat,65-74,Learning disability register,105,35,4,1.4000000000000004,3,6,7.600000000000001
ageband4,learndis_cat,65-74,(Missing),1775,545,5,1,3,7,9
ageband4,learndis_cat,65-74,Other learning disability,214,62,6,2,3,7,9
ageband4,learndis_cat,65-74,Down's syndrome,87,27,4,1,2,7,8
ageband4,learndis_cat,75-104,(Missing),1108,353,5,1,3,7,9
ageband4,learndis_cat,75-104,Other learning disability,152,36,5,3,3.75,7,9
ageband4,learndis_cat,75-104,Down's syndrome,78,26,5,2,3,7,8
ageband4,learndis_cat,75-104,Learning disability register,73,24,4,1,3,6.25,8
ageband4,learndis_cat,12-49,(Missing),430,126,5,1,3,7,8.5
ageband4,learndis_cat,12-49,Learning disability register,26,8,6,3.1000000000000005,4.75,7.5,9
ageband4,learndis_cat,12-49,Other learning disability,41,17,5,1,3,6,8.4
ageband4,learndis_cat,12-49,Down's syndrome,21,3,3,3,3,5,6.199999999999999
ageband4,sickle_cell_asplenia,50-64,FALSE,725,236,5,1,3,7,8.5
ageband4,sickle_cell_asplenia,50-64,TRUE,97,27,5,2,3.5,7,9
ageband4,sickle_cell_asplenia,65-74,FALSE,2105,647,5,1,3,7,8
ageband4,sickle_cell_asplenia,65-74,TRUE,76,22,5,3,4,8,8.900000000000002
ageband4,sickle_cell_asplenia,75-104,FALSE,1364,425,5,1,3,7,9
ageband4,sickle_cell_asplenia,75-104,TRUE,47,14,3,2,3,6.75,8
ageband4,sickle_cell_asplenia,12-49,TRUE,61,22,4,1,1.25,7.25,8.900000000000002
ageband4,sickle_cell_asplenia,12-49,FALSE,457,132,5,2,3,7,8.900000000000006
ageband4,cirrhosis,50-64,FALSE,807,262,5,1,3,7,9
ageband4,cirrhosis,50-64,TRUE,15,1,5,5,5,5,5
ageband4,cirrhosis,65-74,FALSE,2129,649,5,1,3,7,8
ageband4,cirrhosis,65-74,TRUE,52,20,5.5,1.9000000000000004,3,7,9
ageband4,cirrhosis,75-104,FALSE,1386,431,5,1,3,7,9
ageband4,cirrhosis,75-104,TRUE,25,8,4.5,1,3.25,7.25,8
ageband4,cirrhosis,12-49,FALSE,509,151,5,1,3,7,9
ageband4,cirrhosis,12-49,TRUE,9,3,8,4,5.5,8.5,8.8
ageband4,cochlear_implant,50-64,FALSE,805,259,5,1,3,7,9
ageband4,cochlear_implant,50-64,TRUE,17,4,3.5,1.6,2.5,4.5,5.4
ageband4,cochlear_implant,65-74,FALSE,2133,650,5,1,3,7,8
ageband4,cochlear_implant,65-74,TRUE,48,19,5,1,2.5,8,9
ageband4,cochlear_implant,75-104,FALSE,1380,429,5,1,3,7,9
ageband4,cochlear_implant,75-104,TRUE,31,10,3,1,1.5,3.75,4.1
ageband4,cochlear_implant,12-49,FALSE,510,149,5,1,3,7,9
ageband4,cochlear_implant,12-49,TRUE,8,5,5,3.4,4,7,7
ageband4,cystic_fibrosis,50-64,FALSE,803,257,5,1,3,7,9
ageband4,cystic_fibrosis,50-64,TRUE,19,6,3,2.5,3,3.75,5
ageband4,cystic_fibrosis,65-74,FALSE,2136,653,5,1,3,7,8
ageband4,cystic_fibrosis,65-74,TRUE,45,16,5,1,1.75,7.25,8.5
ageband4,cystic_fibrosis,75-104,FALSE,1371,430,5,1,3,7,9
ageband4,cystic_fibrosis,75-104,TRUE,40,9,6,3,3,6,7.399999999999999
ageband4,cystic_fibrosis,12-49,FALSE,506,151,5,1,3,7,9
ageband4,cystic_fibrosis,12-49,TRUE,12,3,4,2.4,3,5,5.6
ageband4,csfl,50-64,FALSE,809,258,5,1,3,7,9
ageband4,csfl,50-64,TRUE,13,5,8,3.8,5,8,8.6
ageband4,csfl,65-74,FALSE,2141,656,5,1,3,7,8.5
ageband4,csfl,65-74,TRUE,40,13,4,3,4,8,8
ageband4,csfl,75-104,FALSE,1386,433,5,1,3,7,9
ageband4,csfl,75-104,TRUE,25,6,4.5,2,3.25,6.5,7
ageband4,csfl,12-49,FALSE,510,151,5,1,3,7,9
ageband4,csfl,12-49,TRUE,8,3,8,4,5.5,8.5,8.8
ageband4,homeless,50-64,FALSE,798,257,5,1,3,7,9
ageband4,homeless,50-64,TRUE,24,6,6,2.5,3.25,8.75,9
ageband4,homeless,65-74,FALSE,2137,654,5,1,3,7,9
ageband4,homeless,65-74,TRUE,44,15,3,1,1,4,6
ageband4,homeless,75-104,FALSE,1389,433,5,1,3,7,9
ageband4,homeless,75-104,TRUE,22,6,3,2.5,3,3.75,6.5
ageband4,homeless,12-49,FALSE,505,151,5,1,3,7,9
ageband4,homeless,12-49,TRUE,13,3,2,1.2,1.5,2,2
any_eligibility,all,TRUE,All,4932,1525,5,1,3,7,9
any_eligibility,ageband4,TRUE,50-64,822,263,5,1,3,7,9
any_eligibility,ageband4,TRUE,65-74,2181,669,5,1,3,7,8.200000000000045
any_eligibility,ageband4,TRUE,75-104,1411,439,5,1,3,7,9
any_eligibility,ageband4,TRUE,12-49,518,154,5,1,3,7,9
any_eligibility,ageband13,TRUE,55-59,274,95,5,1,3,7,9
any_eligibility,ageband13,TRUE,60-64,303,97,4,1,3,6,8
any_eligibility,ageband13,TRUE,70-74,950,297,5,1,3,7,9
any_eligibility,ageband13,TRUE,50-54,245,71,6,1,3,7,9
