group1,group1_value,group2,group2_value,total,count_n0,count_n1,count_n2,count_n3,count_n4,count_n5plus,count_median,count_p10,count_p25,count_p75,count_p90,days_since_n12m,days_since_n24m,days_since_median,days_since_p10,days_since_p25,days_since_p75,days_since_p90,count_pct0,count_pct1,count_pct2,count_pct3,count_pct4,count_pct5plus,days_since_pct12m,days_since_pct24m
all,All,region,East of England,230,20,20,20,20,20,140,6,1,2,10.75,13,120,160,321,223,253,363,388,8.7,8.7,8.7,8.7,8.7,60.9,52.2,69.6
all,All,region,London,230,20,20,10,30,10,140,6,1,3,10.75,13,130,170,303,228.5,262,348,383.5,8.7,8.7,4.3,13,4.3,60.9,56.5,73.9
all,All,region,South East,240,20,10,20,20,20,160,7,1,3,10.5,13,140,170,296,217.5,244,347,378,8.3,4.2,8.3,8.3,8.3,66.7,58.3,70.8
all,All,region,South West,220,20,20,10,10,20,150,8,1,3,11,13,130,150,292,215,238.5,342,369.8,9.1,9.1,4.5,4.5,9.1,68.2,59.1,68.2
all,All,imd_quintile,1 (most deprived),940,60,70,50,70,40,640,7,1,3,11,13,560,670,295,219,249,346,380,6.4,7.4,5.3,7.4,4.3,68.1,59.6,71.3
all,All,imd_quintile,2,980,60,80,70,60,70,640,7,1,3,11,13,580,690,298.5,217,252,347.75,374,6.1,8.2,7.1,6.1,7.1,65.3,59.2,70.4
all,All,imd_quintile,3,960,70,70,70,70,70,620,7,1,3,11,13,580,700,303,223,253,352,381,7.3,7.3,7.3,7.3,7.3,64.6,60.4,72.9
all,All,imd_quintile,4,910,70,50,70,60,60,600,7,1,3,11,13,530,640,296,219.3,245,349,378,7.7,5.5,7.7,6.6,6.6,65.9,58.2,70.3
all,All,imd_quintile,5 (least deprived),870,60,60,50,60,60,580,7,1,3,11,13,500,620,305,219,251,354,383,6.9,6.9,5.7,6.9,6.9,66.7,57.5,71.3
all,All,imd_quintile,(Missing),270,20,20,20,20,10,170,7,1,3,11,13,160,180,289,216.8,244,335,378.1,7.4,7.4,7.4,7.4,3.7,63,59.3,66.7
all,All,carehome_status,FALSE,4120,270,310,290,300,260,2700,7,1,3,11,13,2440,2950,300,219,250,350,379.4,6.6,7.5,7,7.3,6.3,65.5,59.2,71.6
all,All,carehome_status,TRUE,810,60,50,40,40,60,550,7,1,4,11,13,470,560,294,219,247,349,381.6,7.4,6.2,4.9,4.9,7.4,67.9,58,69.1
all,All,primis_atrisk,FALSE,2960,220,220,190,200,190,1950,7,1,3,11,13,1770,2130,298,219,247,350,379,7.4,7.4,6.4,6.8,6.4,65.9,59.8,72
all,All,primis_atrisk,TRUE,1970,120,140,140,140,130,1300,7,1,3,11,13,1140,1380,302,220,253,350,381,6.1,7.1,7.1,7.1,6.6,66,57.9,70.1
all,All,crd,FALSE,4720,330,340,310,320,300,3100,7,1,3,11,13,2800,3370,299,219,249,349,380,7,7.2,6.6,6.8,6.4,65.7,59.3,71.4
all,All,crd,TRUE,210,10,10,10,20,20,140,7,2,4,11,13,110,140,307,226,253,357,382,4.8,4.8,4.8,9.5,9.5,66.7,52.4,66.7
all,All,chd,FALSE,4730,330,340,310,330,310,3120,7,1,3,11,13,2800,3370,299,219.2,249,350,379.8,7,7.2,6.6,7,6.6,66,59.2,71.2
all,All,chd,TRUE,200,10,20,20,10,10,130,7,1,3,11,13,110,140,300,212.6,250.5,348.5,388.6,5,10,10,5,5,65,55,70
all,All,ckd,FALSE,4740,330,340,310,330,310,3120,7,1,3,11,13,2800,3380,299,219,249,350,380,7,7.2,6.5,7,6.5,65.8,59.1,71.3
all,All,ckd,TRUE,190,10,10,20,10,10,130,8,1,4,11,13,110,130,314.5,223,267.75,349.25,371.9,5.3,5.3,10.5,5.3,5.3,68.4,57.9,68.4
all,All,cld,FALSE,4720,320,350,320,330,300,3100,7,1,3,11,13,2790,3370,299,219,249,350,380,6.8,7.4,6.8,7,6.4,65.7,59.1,71.4
all,All,cld,TRUE,210,10,10,10,10,20,140,8,1,4,12,13,120,140,303,224,253,349,383,4.8,4.8,4.8,4.8,9.5,66.7,57.1,66.7
all,All,cns_learndis,FALSE,4560,320,330,300,320,290,3010,7,1,3,11,13,2690,3240,299,219,249,349,380,7,7.2,6.6,7,6.4,66,59,71.1
all,All,cns_learndis,TRUE,370,20,30,30,20,30,240,6,1,3,10,13,220,270,298,228,253,356,380,5.4,8.1,8.1,5.4,8.1,64.9,59.5,73
all,All,diabetes,FALSE,4730,330,340,320,320,310,3110,7,1,3,11,13,2800,3380,299,219,249,349.5,380,7,7.2,6.8,6.8,6.6,65.8,59.2,71.5
all,All,diabetes,TRUE,190,10,20,10,20,10,130,7,1,3,10,13,110,130,306,222.4,260,351,381.2,5.3,10.5,5.3,10.5,5.3,68.4,57.9,68.4
all,All,immunosuppressed_asplenia,FALSE,4510,310,330,290,300,290,2980,7,1,3,11,13,2640,3200,299,219,249,350,380,6.9,7.3,6.4,6.7,6.4,66.1,58.5,71
all,All,immunosuppressed_asplenia,TRUE,420,30,30,30,40,30,260,7,1,3,11,13,280,310,301.5,222,254,341.75,368.2,7.1,7.1,7.1,9.5,7.1,61.9,66.7,73.8
all,All,severe_obesity,FALSE,4740,320,340,310,330,310,3130,7,1,3,11,13,2800,3380,299,220,250,350,379,6.8,7.2,6.5,7,6.5,66,59.1,71.3
all,All,severe_obesity,TRUE,190,20,20,20,10,10,120,7,1,2,11,13,110,140,297,211.8,244.5,348.5,385,10.5,10.5,10.5,5.3,5.3,63.2,57.9,73.7
all,All,smi,FALSE,4730,320,340,320,320,310,3120,7,1,3,11,13,2810,3380,299,219,249,349,379,6.8,7.2,6.8,6.8,6.6,66,59.4,71.5
all,All,smi,TRUE,200,20,10,10,20,10,130,6,1,3,10,13,100,140,307,225,255,361,385.6,10,5,5,10,5,65,50,70
all,All,rrt_cat,1 dialysis,40,0,0,0,0,0,30,9,1,4.25,11,13,30,30,287,218.8,235,318,343.2,0,0,0,0,0,75,75,75
all,All,rrt_cat,2 transplant,40,0,0,0,0,0,20,6,2.8000000000000007,4,9,12,20,30,286,225.5,248.25,323,359,0,0,0,0,0,50,50,75
all,All,rrt_cat,0 no RRT,4850,330,350,320,330,310,3190,7,1,3,11,13,2860,3450,299,219,250,350,380,6.8,7.2,6.6,6.8,6.4,65.8,59,71.1
all,All,copd,FALSE,4830,330,350,320,340,310,3180,7,1,3,11,13,2850,3440,299,219,250,350,380,6.8,7.2,6.6,7,6.4,65.8,59,71.2
all,All,copd,TRUE,100,0,10,0,0,10,70,8,1,4,12,13.400000000000006,60,70,293,216.2,247,346,368.8,0,10,0,0,10,70,60,70
all,All,down_sydrome,FALSE,4840,330,350,320,340,310,3190,7,1,3,11,13,2860,3450,299,219,249,350,380,6.8,7.2,6.6,7,6.4,65.9,59.1,71.3
all,All,down_sydrome,TRUE,80,10,10,10,0,10,50,7,1,3,10,13,50,60,312,235.8,263.5,348,376.8,12.5,12.5,12.5,0,12.5,62.5,62.5,75
all,All,sickle_cell,FALSE,4820,330,350,320,330,310,3180,7,1,3,11,13,2850,3440,299,219,249,350,380,6.8,7.3,6.6,6.8,6.4,66,59.1,71.4
all,All,sickle_cell,TRUE,100,10,10,10,10,10,70,7,1,3,11.25,13,60,80,302.5,218,250.25,351.25,379,10,10,10,10,10,70,60,80
any_eligibility,TRUE,all,All,4930,340,360,330,340,320,3250,7,1,3,11,13,2910,3510,299,219,249,350,380,6.9,7.3,6.7,6.9,6.5,65.9,59,71.2
any_eligibility,TRUE,sex,Female,2560,160,200,170,180,160,1690,7,1,3,11,13,1530,1820,296,219,250,347,377,6.2,7.8,6.6,7,6.2,66,59.8,71.1
any_eligibility,TRUE,sex,Male,2370,180,160,160,160,160,1550,7,1,3,11,13,1380,1690,303,219,249,351,381,7.6,6.8,6.8,6.8,6.8,65.4,58.2,71.3
any_eligibility,TRUE,ageband4,16-49,490,30,30,40,40,30,320,7,1,3,11,13,290,340,301,218.7,252,349,374.3,6.1,6.1,8.2,8.2,6.1,65.3,59.2,69.4
any_eligibility,TRUE,ageband4,50-64,790,40,60,50,50,60,520,7,1,3,10,13,450,550,311,225,256,352,381,5.1,7.6,6.3,6.3,7.6,65.8,57,69.6
any_eligibility,TRUE,ageband4,65-74,2220,160,150,170,140,140,1460,7,1,3,11,13,1310,1600,298,218,247,351,380,7.2,6.8,7.7,6.3,6.3,65.8,59,72.1
any_eligibility,TRUE,ageband4,75-104,1440,100,120,80,110,90,940,7,1,3,11,13,860,1020,295,218,246.75,345,379.1,6.9,8.3,5.6,7.6,6.2,65.3,59.7,70.8
any_eligibility,TRUE,ageband13,16-19,0,0,0,0,0,0,0,5,3.4000000000000004,4,7.5,9,0,0,349,349,349,349,349,NA,NA,NA,NA,NA,NA,NA,NA
any_eligibility,TRUE,ageband13,20-29,20,0,0,0,0,0,20,8,1.2000000000000002,4.5,10.5,11,10,20,323,247.4,279.5,355,378.2,0,0,0,0,0,100,50,100
any_eligibility,TRUE,ageband13,30-39,150,10,10,10,10,10,100,7,1.5,3,11,13,90,110,301,214,251,351,376.8,6.7,6.7,6.7,6.7,6.7,66.7,60,73.3
any_eligibility,TRUE,ageband13,40-49,320,20,20,20,20,20,210,7,1,3,10,13,180,220,296,225.8,251,343,372.6,6.2,6.2,6.2,6.2,6.2,65.6,56.2,68.8
any_eligibility,TRUE,ageband13,50-54,260,10,20,20,10,20,170,6,1,3,10,13,140,180,319,224,256,353.75,383.5,3.8,7.7,7.7,3.8,7.7,65.4,53.8,69.2
any_eligibility,TRUE,ageband13,55-59,260,20,20,10,20,20,180,7,1,4,10,13,150,180,305.5,229.1,256,349.75,381,7.7,7.7,3.8,7.7,7.7,69.2,57.7,69.2
any_eligibility,TRUE,ageband13,60-64,270,10,20,20,20,20,180,7,1,3,11,13,160,200,308.5,220,256,354,380,3.7,7.4,7.4,7.4,7.4,66.7,59.3,74.1
any_eligibility,TRUE,ageband13,65-69,1240,90,70,80,90,90,820,7,1,3,11,13,740,900,296,218,247,350,378,7.3,5.6,6.5,7.3,7.3,66.1,59.7,72.6
any_eligibility,TRUE,ageband13,70-74,980,70,80,80,60,50,640,7,1,3,11,13,570,700,300,219,248,353,382,7.1,8.2,8.2,6.1,5.1,65.3,58.2,71.4
any_eligibility,TRUE,ageband13,75-79,670,50,60,30,60,40,430,7,1,3,11,13,410,480,289,215.3,239,343.25,380.7,7.5,9,4.5,9,6,64.2,61.2,71.6
any_eligibility,TRUE,ageband13,80-84,390,30,20,20,30,30,270,8,1,3,11,13,250,290,294,228,255,345.75,378,7.7,5.1,5.1,7.7,7.7,69.2,64.1,74.4
any_eligibility,TRUE,ageband13,85-89,230,20,20,10,20,20,150,7,1,3,11,13,130,150,310.5,217.3,253,345,383.7,8.7,8.7,4.3,8.7,8.7,65.2,56.5,65.2
any_eligibility,TRUE,ageband13,90-104,150,10,10,10,10,10,100,7,1,3,10.75,13,80,90,307,214.1,254.75,350.25,377.6,6.7,6.7,6.7,6.7,6.7,66.7,53.3,60
any_eligibility,TRUE,ethnicity5,White,2740,190,200,170,180,170,1820,7,1,3,11,13,1620,1940,298,218,247,349,378,6.9,7.3,6.2,6.6,6.2,66.4,59.1,70.8
any_eligibility,TRUE,ethnicity5,Mixed,420,40,30,30,40,30,260,7,1,3,11,13,240,300,302,223,259.25,348.5,384.7,9.5,7.1,7.1,9.5,7.1,61.9,57.1,71.4
any_eligibility,TRUE,ethnicity5,Asian or Asian British,410,30,30,30,20,30,270,7,1,3,11,13,250,290,301,217,241.5,346.5,375,7.3,7.3,7.3,4.9,7.3,65.9,61,70.7
any_eligibility,TRUE,ethnicity5,Black or Black British,440,20,40,40,20,30,280,6,1,3,11,13,250,320,301,223.4,250,355,384.2,4.5,9.1,9.1,4.5,6.8,63.6,56.8,72.7
any_eligibility,TRUE,ethnicity5,Chinese or Other Ethnic Groups,450,30,30,30,40,30,290,7,1,3,11,13,280,340,307,221.8,258,350.25,384.1,6.7,6.7,6.7,8.9,6.7,64.4,62.2,75.6
any_eligibility,TRUE,ethnicity5,(Missing),470,30,30,30,30,30,320,7,1,3,11,13,270,320,299.5,221,252,352,376.9,6.4,6.4,6.4,6.4,6.4,68.1,57.4,68.1
any_eligibility,TRUE,region,North East and Yorkshire,2520,180,190,180,170,160,1640,7,1,3,11,13,1490,1790,298.5,220,251,349.25,379,7.1,7.5,7.1,6.7,6.3,65.1,59.1,71
any_eligibility,TRUE,region,North West,1000,60,70,50,70,60,700,7,1,4,11,13,600,730,297,216,246,349,378.3,6,7,5,7,6,70,60,73
any_eligibility,TRUE,region,Midlands,480,20,30,30,30,30,330,7,1,4,11,13,290,360,303,222.5,254.75,349.25,384,4.2,6.2,6.2,6.2,6.2,68.8,60.4,75
any_eligibility,TRUE,region,East of England,230,20,20,20,20,20,140,6,1,2,10.75,13,120,160,321,223,253,363,388,8.7,8.7,8.7,8.7,8.7,60.9,52.2,69.6
any_eligibility,TRUE,region,London,230,20,20,10,30,10,140,6,1,3,10.75,13,130,170,303,228.5,262,348,383.5,8.7,8.7,4.3,13,4.3,60.9,56.5,73.9
any_eligibility,TRUE,region,South East,240,20,10,20,20,20,160,7,1,3,10.5,13,140,170,296,217.5,244,347,378,8.3,4.2,8.3,8.3,8.3,66.7,58.3,70.8
any_eligibility,TRUE,region,South West,220,20,20,10,10,20,150,8,1,3,11,13,130,150,292,215,238.5,342,369.8,9.1,9.1,4.5,4.5,9.1,68.2,59.1,68.2
any_eligibility,TRUE,imd_quintile,1 (most deprived),940,60,70,50,70,40,640,7,1,3,11,13,560,670,295,219,249,346,380,6.4,7.4,5.3,7.4,4.3,68.1,59.6,71.3
any_eligibility,TRUE,imd_quintile,2,980,60,80,70,60,70,640,7,1,3,11,13,580,690,298.5,217,252,347.75,374,6.1,8.2,7.1,6.1,7.1,65.3,59.2,70.4
any_eligibility,TRUE,imd_quintile,3,960,70,70,70,70,70,620,7,1,3,11,13,580,700,303,223,253,352,381,7.3,7.3,7.3,7.3,7.3,64.6,60.4,72.9
any_eligibility,TRUE,imd_quintile,4,910,70,50,70,60,60,600,7,1,3,11,13,530,640,296,219.3,245,349,378,7.7,5.5,7.7,6.6,6.6,65.9,58.2,70.3
any_eligibility,TRUE,imd_quintile,5 (least deprived),870,60,60,50,60,60,580,7,1,3,11,13,500,620,305,219,251,354,383,6.9,6.9,5.7,6.9,6.9,66.7,57.5,71.3
any_eligibility,TRUE,imd_quintile,(Missing),270,20,20,20,20,10,170,7,1,3,11,13,160,180,289,216.8,244,335,378.1,7.4,7.4,7.4,7.4,3.7,63,59.3,66.7
any_eligibility,TRUE,carehome_status,FALSE,4120,270,310,290,300,260,2700,7,1,3,11,13,2440,2950,300,219,250,350,379.4,6.6,7.5,7,7.3,6.3,65.5,59.2,71.6
any_eligibility,TRUE,carehome_status,TRUE,810,60,50,40,40,60,550,7,1,4,11,13,470,560,294,219,247,349,381.6,7.4,6.2,4.9,4.9,7.4,67.9,58,69.1
any_eligibility,TRUE,primis_atrisk,FALSE,2960,220,220,190,200,190,1950,7,1,3,11,13,1770,2130,298,219,247,350,379,7.4,7.4,6.4,6.8,6.4,65.9,59.8,72
any_eligibility,TRUE,primis_atrisk,TRUE,1970,120,140,140,140,130,1300,7,1,3,11,13,1140,1380,302,220,253,350,381,6.1,7.1,7.1,7.1,6.6,66,57.9,70.1
any_eligibility,TRUE,crd,FALSE,4720,330,340,310,320,300,3100,7,1,3,11,13,2800,3370,299,219,249,349,380,7,7.2,6.6,6.8,6.4,65.7,59.3,71.4
any_eligibility,TRUE,crd,TRUE,210,10,10,10,20,20,140,7,2,4,11,13,110,140,307,226,253,357,382,4.8,4.8,4.8,9.5,9.5,66.7,52.4,66.7
any_eligibility,TRUE,chd,FALSE,4730,330,340,310,330,310,3120,7,1,3,11,13,2800,3370,299,219.2,249,350,379.8,7,7.2,6.6,7,6.6,66,59.2,71.2
any_eligibility,TRUE,chd,TRUE,200,10,20,20,10,10,130,7,1,3,11,13,110,140,300,212.6,250.5,348.5,388.6,5,10,10,5,5,65,55,70
any_eligibility,TRUE,ckd,FALSE,4740,330,340,310,330,310,3120,7,1,3,11,13,2800,3380,299,219,249,350,380,7,7.2,6.5,7,6.5,65.8,59.1,71.3
any_eligibility,TRUE,ckd,TRUE,190,10,10,20,10,10,130,8,1,4,11,13,110,130,314.5,223,267.75,349.25,371.9,5.3,5.3,10.5,5.3,5.3,68.4,57.9,68.4
any_eligibility,TRUE,cld,FALSE,4720,320,350,320,330,300,3100,7,1,3,11,13,2790,3370,299,219,249,350,380,6.8,7.4,6.8,7,6.4,65.7,59.1,71.4
any_eligibility,TRUE,cld,TRUE,210,10,10,10,10,20,140,8,1,4,12,13,120,140,303,224,253,349,383,4.8,4.8,4.8,4.8,9.5,66.7,57.1,66.7
any_eligibility,TRUE,cns_learndis,FALSE,4560,320,330,300,320,290,3010,7,1,3,11,13,2690,3240,299,219,249,349,380,7,7.2,6.6,7,6.4,66,59,71.1
any_eligibility,TRUE,cns_learndis,TRUE,370,20,30,30,20,30,240,6,1,3,10,13,220,270,298,228,253,356,380,5.4,8.1,8.1,5.4,8.1,64.9,59.5,73
any_eligibility,TRUE,diabetes,FALSE,4730,330,340,320,320,310,3110,7,1,3,11,13,2800,3380,299,219,249,349.5,380,7,7.2,6.8,6.8,6.6,65.8,59.2,71.5
any_eligibility,TRUE,diabetes,TRUE,190,10,20,10,20,10,130,7,1,3,10,13,110,130,306,222.4,260,351,381.2,5.3,10.5,5.3,10.5,5.3,68.4,57.9,68.4
any_eligibility,TRUE,immunosuppressed_asplenia,FALSE,4510,310,330,290,300,290,2980,7,1,3,11,13,2640,3200,299,219,249,350,380,6.9,7.3,6.4,6.7,6.4,66.1,58.5,71
any_eligibility,TRUE,immunosuppressed_asplenia,TRUE,420,30,30,30,40,30,260,7,1,3,11,13,280,310,301.5,222,254,341.75,368.2,7.1,7.1,7.1,9.5,7.1,61.9,66.7,73.8
any_eligibility,TRUE,severe_obesity,FALSE,4740,320,340,310,330,310,3130,7,1,3,11,13,2800,3380,299,220,250,350,379,6.8,7.2,6.5,7,6.5,66,59.1,71.3
any_eligibility,TRUE,severe_obesity,TRUE,190,20,20,20,10,10,120,7,1,2,11,13,110,140,297,211.8,244.5,348.5,385,10.5,10.5,10.5,5.3,5.3,63.2,57.9,73.7
any_eligibility,TRUE,smi,FALSE,4730,320,340,320,320,310,3120,7,1,3,11,13,2810,3380,299,219,249,349,379,6.8,7.2,6.8,6.8,6.6,66,59.4,71.5
any_eligibility,TRUE,smi,TRUE,200,20,10,10,20,10,130,6,1,3,10,13,100,140,307,225,255,361,385.6,10,5,5,10,5,65,50,70
any_eligibility,TRUE,rrt_cat,1 dialysis,40,0,0,0,0,0,30,9,1,4.25,11,13,30,30,287,218.8,235,318,343.2,0,0,0,0,0,75,75,75
any_eligibility,TRUE,rrt_cat,2 transplant,40,0,0,0,0,0,20,6,2.8000000000000007,4,9,12,20,30,286,225.5,248.25,323,359,0,0,0,0,0,50,50,75
any_eligibility,TRUE,rrt_cat,0 no RRT,4850,330,350,320,330,310,3190,7,1,3,11,13,2860,3450,299,219,250,350,380,6.8,7.2,6.6,6.8,6.4,65.8,59,71.1
any_eligibility,TRUE,copd,FALSE,4830,330,350,320,340,310,3180,7,1,3,11,13,2850,3440,299,219,250,350,380,6.8,7.2,6.6,7,6.4,65.8,59,71.2
any_eligibility,TRUE,copd,TRUE,100,0,10,0,0,10,70,8,1,4,12,13.400000000000006,60,70,293,216.2,247,346,368.8,0,10,0,0,10,70,60,70
any_eligibility,TRUE,down_sydrome,FALSE,4840,330,350,320,340,310,3190,7,1,3,11,13,2860,3450,299,219,249,350,380,6.8,7.2,6.6,7,6.4,65.9,59.1,71.3
any_eligibility,TRUE,down_sydrome,TRUE,80,10,10,10,0,10,50,7,1,3,10,13,50,60,312,235.8,263.5,348,376.8,12.5,12.5,12.5,0,12.5,62.5,62.5,75
any_eligibility,TRUE,sickle_cell,FALSE,4820,330,350,320,330,310,3180,7,1,3,11,13,2850,3440,299,219,249,350,380,6.8,7.3,6.6,6.8,6.4,66,59.1,71.4
any_eligibility,TRUE,sickle_cell,TRUE,100,10,10,10,10,10,70,7,1,3,11.25,13,60,80,302.5,218,250.25,351.25,379,10,10,10,10,10,70,60,80
age_above_eligiblity_threshold,FALSE,all,All,1280,70,90,80,90,90,850,7,1,3,11,13,740,890,306,224,256,351,379,5.5,7,6.2,7,7,66.4,57.8,69.5
age_above_eligiblity_threshold,TRUE,all,All,3650,260,270,240,250,230,2400,7,1,3,11,13,2170,2620,297,218,247,349,380,7.1,7.4,6.6,6.8,6.3,65.8,59.5,71.8
age_above_eligiblity_threshold,FALSE,sex,Female,680,30,60,50,50,50,440,7,1,3,10,13,420,480,297,224.6,253,341,373,4.4,8.8,7.4,7.4,7.4,64.7,61.8,70.6
age_above_eligiblity_threshold,FALSE,sex,Male,590,40,30,40,40,40,410,7,1,4,11,13,320,420,317,222.4,258,359.5,384,6.8,5.1,6.8,6.8,6.8,69.5,54.2,71.2
age_above_eligiblity_threshold,TRUE,sex,Female,1880,130,140,120,130,110,1250,7,1,3,11,13,1120,1350,296,217,248,349,379,6.9,7.4,6.4,6.9,5.9,66.5,59.6,71.8
age_above_eligiblity_threshold,TRUE,sex,Male,1770,130,130,120,120,120,1140,7,1,3,11,13,1060,1270,298,219,246,349,380,7.3,7.3,6.8,6.8,6.8,64.4,59.9,71.8
age_above_eligiblity_threshold,FALSE,ageband4,16-49,490,30,30,40,40,30,320,7,1,3,11,13,290,340,301,218.7,252,349,374.3,6.1,6.1,8.2,8.2,6.1,65.3,59.2,69.4
age_above_eligiblity_threshold,FALSE,ageband4,50-64,790,40,60,50,50,60,520,7,1,3,10,13,450,550,311,225,256,352,381,5.1,7.6,6.3,6.3,7.6,65.8,57,69.6
age_above_eligiblity_threshold,TRUE,ageband4,65-74,2220,160,150,170,140,140,1460,7,1,3,11,13,1310,1600,298,218,247,351,380,7.2,6.8,7.7,6.3,6.3,65.8,59,72.1
age_above_eligiblity_threshold,TRUE,ageband4,75-104,1440,100,120,80,110,90,940,7,1,3,11,13,860,1020,295,218,246.75,345,379.1,6.9,8.3,5.6,7.6,6.2,65.3,59.7,70.8
age_above_eligiblity_threshold,FALSE,ageband13,16-19,0,0,0,0,0,0,0,5,3.4000000000000004,4,7.5,9,0,0,349,349,349,349,349,NA,NA,NA,NA,NA,NA,NA,NA
